kind,item_id,name,slot_or_type,rarity,obtainable,source_kinds,locations,unknown
weapon,wpn_cracked_axe,ひび割れた斧,axe,N,NO,,,no acquisition path found; equip jobs not in DB
weapon,wpn_old_bow,古い弓,bow,N,YES,starter_job;area_drop;shop;kai_forge;valhalla,ジョブ選択; 星原の外れ（はじまりの星原）; 星屑の草道（はじまりの星原）; 古い訓練場（はじまりの星原）; 古道の荷車跡（古道の宿場村）; 朽ちた旅籠（古道の宿場村）; 盗賊の抜け道（古道の宿場村）; 石積みの橋（古道の宿場村）; 薄明の海岸（薄明の港町）; 灯台下の岩場（薄明の港町）; 沈没船の甲板（薄明の港町）; 白銀坑道（白銀鉱山街）; 旧採掘路（白銀鉱山街）; 結晶の縦穴（白銀鉱山街）; 霧深き獣道（霧深き森の集落）; 毒蔦の小径（霧深き森の集落）; 古樹の根元（霧深き森の集落）; 雨音の路地（雨音の廃村）; 水没した家屋（雨音の廃村）; 朽ちた井戸（雨音の廃村）; 月下図書館・禁書区画（月下図書館）; 紙魚の回廊（月下図書館）; 記録端末室（月下図書館）; 忘却の地下路（忘却の地下市）; 黒市の裏通り（忘却の地下市）; 呪具置き場（忘却の地下市）; 砂時計の廃路（砂時計の都）; 時紋の市場跡（砂時計の都）; 喪失者の広場（砂時計の都）; 灰冠の王都地下（灰冠の王都跡）; 旧統治軍詰所（灰冠の王都跡）; 王都地下牢（灰冠の王都跡）; 竜骨の峡谷（竜骨の峡谷）; 大骨市場跡（竜骨の峡谷）; 竜鳴きの崖（竜骨の峡谷）; 沈黙の回廊（沈黙の修道院）; 懺悔室（沈黙の修道院）; 祈りの間（沈黙の修道院）; 硝子沼（硝子沼の集落）; 割れた水面（硝子沼の集落）; 沼底の参道（硝子沼の集落）; 赤灰の外壁（赤灰の砦）; 焼けた兵舎（赤灰の砦）; 砦地下倉庫（赤灰の砦）; 深層炉入口（深層炉前哨基地）; 炉心監視塔（深層炉前哨基地）; 機工整備場（深層炉前哨基地）; 星落ちの観測台（星落ちの観測所）; 砕けた望遠塔（星落ちの観測所）; 星屑の実験室（星落ちの観測所）; ヴァルハラ外郭（空中要塞ヴァルハラ）; 機械兵格納庫（空中要塞ヴァルハラ）; 空塞昇降路（空中要塞ヴァルハラ）; 霧深き森の集落; 古道の宿場村; 白銀鉱山・カイ; ヴァルハラ,equip jobs not in DB
weapon,wpn_old_road_knife,古道のナイフ,dagger,N,YES,area_drop;shop,古道の荷車跡（古道の宿場村）; 朽ちた旅籠（古道の宿場村）; 盗賊の抜け道（古道の宿場村）; 石積みの橋（古道の宿場村）; 旅人の墓標（古道の宿場村）; 古道の宿場村,equip jobs not in DB
weapon,wpn_mini_cannon,小型機工砲,cannon,N,YES,starter_job;area_drop;shop;kai_forge;valhalla,ジョブ選択; 星原の外れ（はじまりの星原）; 星屑の草道（はじまりの星原）; 古い訓練場（はじまりの星原）; 古道の荷車跡（古道の宿場村）; 朽ちた旅籠（古道の宿場村）; 盗賊の抜け道（古道の宿場村）; 薄明の海岸（薄明の港町）; 灯台下の岩場（薄明の港町）; 沈没船の甲板（薄明の港町）; 白銀坑道（白銀鉱山街）; 旧採掘路（白銀鉱山街）; 結晶の縦穴（白銀鉱山街）; 霧深き獣道（霧深き森の集落）; 毒蔦の小径（霧深き森の集落）; 古樹の根元（霧深き森の集落）; 雨音の路地（雨音の廃村）; 水没した家屋（雨音の廃村）; 朽ちた井戸（雨音の廃村）; 月下図書館・禁書区画（月下図書館）; 紙魚の回廊（月下図書館）; 記録端末室（月下図書館）; 忘却の地下路（忘却の地下市）; 黒市の裏通り（忘却の地下市）; 呪具置き場（忘却の地下市）; 砂時計の廃路（砂時計の都）; 時紋の市場跡（砂時計の都）; 喪失者の広場（砂時計の都）; 灰冠の王都地下（灰冠の王都跡）; 旧統治軍詰所（灰冠の王都跡）; 王都地下牢（灰冠の王都跡）; 竜骨の峡谷（竜骨の峡谷）; 大骨市場跡（竜骨の峡谷）; 竜鳴きの崖（竜骨の峡谷）; 沈黙の回廊（沈黙の修道院）; 懺悔室（沈黙の修道院）; 祈りの間（沈黙の修道院）; 硝子沼（硝子沼の集落）; 割れた水面（硝子沼の集落）; 沼底の参道（硝子沼の集落）; 赤灰の外壁（赤灰の砦）; 焼けた兵舎（赤灰の砦）; 砦地下倉庫（赤灰の砦）; 深層炉入口（深層炉前哨基地）; 炉心監視塔（深層炉前哨基地）; 機工整備場（深層炉前哨基地）; 星落ちの観測台（星落ちの観測所）; 砕けた望遠塔（星落ちの観測所）; 星屑の実験室（星落ちの観測所）; ヴァルハラ外郭（空中要塞ヴァルハラ）; 機械兵格納庫（空中要塞ヴァルハラ）; 空塞昇降路（空中要塞ヴァルハラ）; 深層炉前哨基地; 白銀鉱山街; 白銀鉱山・カイ; ヴァルハラ,equip jobs not in DB
weapon,wpn_traveler_sword,旅人の剣,sword,N,YES,starter_job;area_drop;shop;kai_forge;valhalla,ジョブ選択; 星原の外れ（はじまりの星原）; 星屑の草道（はじまりの星原）; 古い訓練場（はじまりの星原）; 古道の荷車跡（古道の宿場村）; 朽ちた旅籠（古道の宿場村）; 盗賊の抜け道（古道の宿場村）; 薄明の海岸（薄明の港町）; 灯台下の岩場（薄明の港町）; 沈没船の甲板（薄明の港町）; 白銀坑道（白銀鉱山街）; 旧採掘路（白銀鉱山街）; 結晶の縦穴（白銀鉱山街）; 霧深き獣道（霧深き森の集落）; 毒蔦の小径（霧深き森の集落）; 古樹の根元（霧深き森の集落）; 雨音の路地（雨音の廃村）; 水没した家屋（雨音の廃村）; 朽ちた井戸（雨音の廃村）; 月下図書館・禁書区画（月下図書館）; 紙魚の回廊（月下図書館）; 記録端末室（月下図書館）; 忘却の地下路（忘却の地下市）; 黒市の裏通り（忘却の地下市）; 呪具置き場（忘却の地下市）; 砂時計の廃路（砂時計の都）; 時紋の市場跡（砂時計の都）; 喪失者の広場（砂時計の都）; 灰冠の王都地下（灰冠の王都跡）; 旧統治軍詰所（灰冠の王都跡）; 王都地下牢（灰冠の王都跡）; 竜骨の峡谷（竜骨の峡谷）; 大骨市場跡（竜骨の峡谷）; 竜鳴きの崖（竜骨の峡谷）; 沈黙の回廊（沈黙の修道院）; 懺悔室（沈黙の修道院）; 祈りの間（沈黙の修道院）; 硝子沼（硝子沼の集落）; 割れた水面（硝子沼の集落）; 沼底の参道（硝子沼の集落）; 赤灰の外壁（赤灰の砦）; 焼けた兵舎（赤灰の砦）; 砦地下倉庫（赤灰の砦）; 深層炉入口（深層炉前哨基地）; 炉心監視塔（深層炉前哨基地）; 機工整備場（深層炉前哨基地）; 星落ちの観測台（星落ちの観測所）; 砕けた望遠塔（星落ちの観測所）; 星屑の実験室（星落ちの観測所）; ヴァルハラ外郭（空中要塞ヴァルハラ）; 機械兵格納庫（空中要塞ヴァルハラ）; 空塞昇降路（空中要塞ヴァルハラ）; 黒灯りの路地; 埋没水路; 竜骨の峡谷; 硝子沼の集落; 空鐘の町; 鉄雪の関所; 祈りの丘; 赤灰の砦; 沈黙の修道院; 星落ちの観測所; はじまりの星原; 白銀鉱山・カイ; ヴァルハラ,equip jobs not in DB
weapon,wpn_wood_axe,木こりの斧,axe,N,NO,,,no acquisition path found; equip jobs not in DB
weapon,wpn_broken_wrap,欠けた拳帯,fist,N,NO,,,no acquisition path found; equip jobs not in DB
weapon,wpn_leather_gauntlet,皮巻きの拳甲,fist,N,YES,starter_job;area_drop;shop;kai_forge;valhalla,ジョブ選択; 星原の外れ（はじまりの星原）; 星屑の草道（はじまりの星原）; 古い訓練場（はじまりの星原）; 古道の荷車跡（古道の宿場村）; 朽ちた旅籠（古道の宿場村）; 盗賊の抜け道（古道の宿場村）; 薄明の海岸（薄明の港町）; 灯台下の岩場（薄明の港町）; 沈没船の甲板（薄明の港町）; 白銀坑道（白銀鉱山街）; 旧採掘路（白銀鉱山街）; 結晶の縦穴（白銀鉱山街）; 霧深き獣道（霧深き森の集落）; 毒蔦の小径（霧深き森の集落）; 古樹の根元（霧深き森の集落）; 雨音の路地（雨音の廃村）; 水没した家屋（雨音の廃村）; 朽ちた井戸（雨音の廃村）; 月下図書館・禁書区画（月下図書館）; 紙魚の回廊（月下図書館）; 記録端末室（月下図書館）; 忘却の地下路（忘却の地下市）; 黒市の裏通り（忘却の地下市）; 呪具置き場（忘却の地下市）; 砂時計の廃路（砂時計の都）; 時紋の市場跡（砂時計の都）; 喪失者の広場（砂時計の都）; 灰冠の王都地下（灰冠の王都跡）; 旧統治軍詰所（灰冠の王都跡）; 王都地下牢（灰冠の王都跡）; 竜骨の峡谷（竜骨の峡谷）; 大骨市場跡（竜骨の峡谷）; 竜鳴きの崖（竜骨の峡谷）; 沈黙の回廊（沈黙の修道院）; 懺悔室（沈黙の修道院）; 祈りの間（沈黙の修道院）; 硝子沼（硝子沼の集落）; 割れた水面（硝子沼の集落）; 沼底の参道（硝子沼の集落）; 赤灰の外壁（赤灰の砦）; 焼けた兵舎（赤灰の砦）; 砦地下倉庫（赤灰の砦）; 深層炉入口（深層炉前哨基地）; 炉心監視塔（深層炉前哨基地）; 機工整備場（深層炉前哨基地）; 星落ちの観測台（星落ちの観測所）; 砕けた望遠塔（星落ちの観測所）; 星屑の実験室（星落ちの観測所）; ヴァルハラ外郭（空中要塞ヴァルハラ）; 機械兵格納庫（空中要塞ヴァルハラ）; 空塞昇降路（空中要塞ヴァルハラ）; 黒灯りの路地; 埋没水路; 竜骨の峡谷; 硝子沼の集落; 空鐘の町; 鉄雪の関所; 古道の宿場村; 祈りの丘; 赤灰の砦; 沈黙の修道院; 星落ちの観測所; はじまりの星原; 白銀鉱山・カイ; ヴァルハラ,equip jobs not in DB
weapon,wpn_prayer_rod,祈りの短杖,rod,N,YES,starter_job;area_drop;kai_forge;valhalla,ジョブ選択; 星原の外れ（はじまりの星原）; 星屑の草道（はじまりの星原）; 古い訓練場（はじまりの星原）; 古道の荷車跡（古道の宿場村）; 朽ちた旅籠（古道の宿場村）; 盗賊の抜け道（古道の宿場村）; 薄明の海岸（薄明の港町）; 灯台下の岩場（薄明の港町）; 沈没船の甲板（薄明の港町）; 白銀坑道（白銀鉱山街）; 旧採掘路（白銀鉱山街）; 結晶の縦穴（白銀鉱山街）; 霧深き獣道（霧深き森の集落）; 毒蔦の小径（霧深き森の集落）; 古樹の根元（霧深き森の集落）; 雨音の路地（雨音の廃村）; 水没した家屋（雨音の廃村）; 朽ちた井戸（雨音の廃村）; 月下図書館・禁書区画（月下図書館）; 紙魚の回廊（月下図書館）; 記録端末室（月下図書館）; 忘却の地下路（忘却の地下市）; 黒市の裏通り（忘却の地下市）; 呪具置き場（忘却の地下市）; 砂時計の廃路（砂時計の都）; 時紋の市場跡（砂時計の都）; 喪失者の広場（砂時計の都）; 灰冠の王都地下（灰冠の王都跡）; 旧統治軍詰所（灰冠の王都跡）; 王都地下牢（灰冠の王都跡）; 竜骨の峡谷（竜骨の峡谷）; 大骨市場跡（竜骨の峡谷）; 竜鳴きの崖（竜骨の峡谷）; 沈黙の回廊（沈黙の修道院）; 懺悔室（沈黙の修道院）; 祈りの間（沈黙の修道院）; 硝子沼（硝子沼の集落）; 割れた水面（硝子沼の集落）; 沼底の参道（硝子沼の集落）; 赤灰の外壁（赤灰の砦）; 焼けた兵舎（赤灰の砦）; 砦地下倉庫（赤灰の砦）; 深層炉入口（深層炉前哨基地）; 炉心監視塔（深層炉前哨基地）; 機工整備場（深層炉前哨基地）; 星落ちの観測台（星落ちの観測所）; 砕けた望遠塔（星落ちの観測所）; 星屑の実験室（星落ちの観測所）; ヴァルハラ外郭（空中要塞ヴァルハラ）; 機械兵格納庫（空中要塞ヴァルハラ）; 空塞昇降路（空中要塞ヴァルハラ）; 白銀鉱山・カイ; ヴァルハラ,equip jobs not in DB
weapon,wpn_crude_spear,粗末な槍,spear,N,NO,,,no acquisition path found; equip jobs not in DB
weapon,wpn_apprentice_staff,見習い杖,staff,N,NO,,,no acquisition path found; equip jobs not in DB
weapon,wpn_training_shield,訓練用大盾,shield,N,NO,,,no acquisition path found; equip jobs not in DB
weapon,wpn_training_hammer,訓練用槌,hammer,N,YES,starter_job;area_drop;shop;kai_forge;valhalla,ジョブ選択; 星原の外れ（はじまりの星原）; 星屑の草道（はじまりの星原）; 古い訓練場（はじまりの星原）; 古道の荷車跡（古道の宿場村）; 朽ちた旅籠（古道の宿場村）; 盗賊の抜け道（古道の宿場村）; 薄明の海岸（薄明の港町）; 灯台下の岩場（薄明の港町）; 沈没船の甲板（薄明の港町）; 白銀坑道（白銀鉱山街）; 旧採掘路（白銀鉱山街）; 結晶の縦穴（白銀鉱山街）; 崩落した作業場（白銀鉱山街）; 霧深き獣道（霧深き森の集落）; 毒蔦の小径（霧深き森の集落）; 古樹の根元（霧深き森の集落）; 雨音の路地（雨音の廃村）; 水没した家屋（雨音の廃村）; 朽ちた井戸（雨音の廃村）; 月下図書館・禁書区画（月下図書館）; 紙魚の回廊（月下図書館）; 記録端末室（月下図書館）; 忘却の地下路（忘却の地下市）; 黒市の裏通り（忘却の地下市）; 呪具置き場（忘却の地下市）; 砂時計の廃路（砂時計の都）; 時紋の市場跡（砂時計の都）; 喪失者の広場（砂時計の都）; 灰冠の王都地下（灰冠の王都跡）; 旧統治軍詰所（灰冠の王都跡）; 王都地下牢（灰冠の王都跡）; 竜骨の峡谷（竜骨の峡谷）; 大骨市場跡（竜骨の峡谷）; 竜鳴きの崖（竜骨の峡谷）; 沈黙の回廊（沈黙の修道院）; 懺悔室（沈黙の修道院）; 祈りの間（沈黙の修道院）; 硝子沼（硝子沼の集落）; 割れた水面（硝子沼の集落）; 沼底の参道（硝子沼の集落）; 赤灰の外壁（赤灰の砦）; 焼けた兵舎（赤灰の砦）; 砦地下倉庫（赤灰の砦）; 深層炉入口（深層炉前哨基地）; 炉心監視塔（深層炉前哨基地）; 機工整備場（深層炉前哨基地）; 星落ちの観測台（星落ちの観測所）; 砕けた望遠塔（星落ちの観測所）; 星屑の実験室（星落ちの観測所）; ヴァルハラ外郭（空中要塞ヴァルハラ）; 機械兵格納庫（空中要塞ヴァルハラ）; 空塞昇降路（空中要塞ヴァルハラ）; 古道の宿場村; 白銀鉱山街; 白銀鉱山・カイ; ヴァルハラ,equip jobs not in DB
weapon,wpn_iron_scrap_barrel,鉄屑の砲筒,cannon,N,YES,area_drop,黒鉄鉱脈（白銀鉱山街）,equip jobs not in DB
weapon,wpn_rust_dagger,錆びた短剣,dagger,N,YES,starter_job;area_drop;kai_forge;valhalla,ジョブ選択; 星原の外れ（はじまりの星原）; 星屑の草道（はじまりの星原）; 古い訓練場（はじまりの星原）; 古道の荷車跡（古道の宿場村）; 朽ちた旅籠（古道の宿場村）; 盗賊の抜け道（古道の宿場村）; 薄明の海岸（薄明の港町）; 灯台下の岩場（薄明の港町）; 沈没船の甲板（薄明の港町）; 白銀坑道（白銀鉱山街）; 旧採掘路（白銀鉱山街）; 結晶の縦穴（白銀鉱山街）; 霧深き獣道（霧深き森の集落）; 毒蔦の小径（霧深き森の集落）; 古樹の根元（霧深き森の集落）; 雨音の路地（雨音の廃村）; 水没した家屋（雨音の廃村）; 朽ちた井戸（雨音の廃村）; 月下図書館・禁書区画（月下図書館）; 紙魚の回廊（月下図書館）; 記録端末室（月下図書館）; 忘却の地下路（忘却の地下市）; 黒市の裏通り（忘却の地下市）; 呪具置き場（忘却の地下市）; 砂時計の廃路（砂時計の都）; 時紋の市場跡（砂時計の都）; 喪失者の広場（砂時計の都）; 灰冠の王都地下（灰冠の王都跡）; 旧統治軍詰所（灰冠の王都跡）; 王都地下牢（灰冠の王都跡）; 竜骨の峡谷（竜骨の峡谷）; 大骨市場跡（竜骨の峡谷）; 竜鳴きの崖（竜骨の峡谷）; 沈黙の回廊（沈黙の修道院）; 懺悔室（沈黙の修道院）; 祈りの間（沈黙の修道院）; 硝子沼（硝子沼の集落）; 割れた水面（硝子沼の集落）; 沼底の参道（硝子沼の集落）; 赤灰の外壁（赤灰の砦）; 焼けた兵舎（赤灰の砦）; 砦地下倉庫（赤灰の砦）; 深層炉入口（深層炉前哨基地）; 炉心監視塔（深層炉前哨基地）; 機工整備場（深層炉前哨基地）; 星落ちの観測台（星落ちの観測所）; 砕けた望遠塔（星落ちの観測所）; 星屑の実験室（星落ちの観測所）; ヴァルハラ外郭（空中要塞ヴァルハラ）; 機械兵格納庫（空中要塞ヴァルハラ）; 空塞昇降路（空中要塞ヴァルハラ）; 白銀鉱山・カイ; ヴァルハラ,equip jobs not in DB
weapon,wpn_rain_bow,雨濡れの弓,bow,N,YES,area_drop;shop,沈没船の甲板（薄明の港町）; 潮騒の洞窟（薄明の港町）; 海霧の倉庫街（薄明の港町）; 雨音の路地（雨音の廃村）; 水没した家屋（雨音の廃村）; 朽ちた井戸（雨音の廃村）; 雨漏りの礼拝堂（雨音の廃村）; 泥濘の畑（雨音の廃村）; 雨音の廃村,equip jobs not in DB
weapon,wpn_old_road_dagger,古道の短剣,dagger,R,YES,area_drop,盗賊の抜け道（古道の宿場村）; 石積みの橋（古道の宿場村）; 旅人の墓標（古道の宿場村）,equip jobs not in DB
weapon,wpn_starfield_sword,星原の剣,sword,R,NO,,,no acquisition path found; equip jobs not in DB
weapon,wpn_moon_rod,月読の短杖,rod,R,YES,area_drop,月下図書館・禁書区画（月下図書館）; 紙魚の回廊（月下図書館）; 記録端末室（月下図書館）; 影写しの閲覧室（月下図書館）; 無答の書庫（月下図書館）,equip jobs not in DB
weapon,wpn_silence_seal,沈黙の聖印,seal,R,NO,,,no acquisition path found; equip jobs not in DB
weapon,wpn_ash_spear,灰冠の槍,spear,R,YES,area_drop,喪失者の広場（砂時計の都）; 逆さ時計塔（砂時計の都）; 記憶の保管庫（砂時計の都）,equip jobs not in DB
weapon,wpn_silver_hammer,白銀の槌,hammer,R,YES,area_drop;shop,白銀坑道（白銀鉱山街）; 旧採掘路（白銀鉱山街）; 結晶の縦穴（白銀鉱山街）; 崩落した作業場（白銀鉱山街）; 黒鉄鉱脈（白銀鉱山街）; 白銀鉱山街,equip jobs not in DB
weapon,wpn_glass_blade,硝子沼の刃,sword,R,YES,area_drop,黒市の裏通り（忘却の地下市）; 呪具置き場（忘却の地下市）; 契約失敗体の檻（忘却の地下市）; 仮面商人の隠し倉庫（忘却の地下市）; 硝子沼（硝子沼の集落）; 割れた水面（硝子沼の集落）; 沼底の参道（硝子沼の集落）; 反射する森（硝子沼の集落）; 硝子花の群生地（硝子沼の集落）,equip jobs not in DB
weapon,wpn_dragon_fist,竜骨の拳甲,fist,R,YES,area_drop,眠れる獣の巣（霧深き森の集落）,equip jobs not in DB
weapon,wpn_twilight_bow,薄明の弓,bow,R,YES,area_drop;shop,薄明の海岸（薄明の港町）; 灯台下の岩場（薄明の港町）; 沈没船の甲板（薄明の港町）; 潮騒の洞窟（薄明の港町）; 海霧の倉庫街（薄明の港町）; 薄明の港町,equip jobs not in DB
weapon,wpn_red_ash_axe,赤灰の斧,axe,R,YES,area_drop,呪具置き場（忘却の地下市）; 契約失敗体の檻（忘却の地下市）; 仮面商人の隠し倉庫（忘却の地下市）; 焼けた兵舎（赤灰の砦）; 砦地下倉庫（赤灰の砦）; 炎の訓練場（赤灰の砦）; 赤灰の見張り台（赤灰の砦）,equip jobs not in DB
weapon,wpn_iron_snow_shield,鉄雪の盾,shield,R,NO,,,no acquisition path found; equip jobs not in DB
weapon,wpn_mist_staff,霧払いの杖,staff,R,YES,starter_job;area_drop;kai_forge;valhalla,ジョブ選択; 星原の外れ（はじまりの星原）; 星屑の草道（はじまりの星原）; 古い訓練場（はじまりの星原）; 古道の荷車跡（古道の宿場村）; 朽ちた旅籠（古道の宿場村）; 盗賊の抜け道（古道の宿場村）; 薄明の海岸（薄明の港町）; 灯台下の岩場（薄明の港町）; 沈没船の甲板（薄明の港町）; 白銀坑道（白銀鉱山街）; 旧採掘路（白銀鉱山街）; 結晶の縦穴（白銀鉱山街）; 霧深き獣道（霧深き森の集落）; 毒蔦の小径（霧深き森の集落）; 古樹の根元（霧深き森の集落）; 雨音の路地（雨音の廃村）; 水没した家屋（雨音の廃村）; 朽ちた井戸（雨音の廃村）; 月下図書館・禁書区画（月下図書館）; 紙魚の回廊（月下図書館）; 記録端末室（月下図書館）; 忘却の地下路（忘却の地下市）; 黒市の裏通り（忘却の地下市）; 呪具置き場（忘却の地下市）; 砂時計の廃路（砂時計の都）; 時紋の市場跡（砂時計の都）; 喪失者の広場（砂時計の都）; 灰冠の王都地下（灰冠の王都跡）; 旧統治軍詰所（灰冠の王都跡）; 王都地下牢（灰冠の王都跡）; 竜骨の峡谷（竜骨の峡谷）; 大骨市場跡（竜骨の峡谷）; 竜鳴きの崖（竜骨の峡谷）; 沈黙の回廊（沈黙の修道院）; 懺悔室（沈黙の修道院）; 祈りの間（沈黙の修道院）; 硝子沼（硝子沼の集落）; 割れた水面（硝子沼の集落）; 沼底の参道（硝子沼の集落）; 赤灰の外壁（赤灰の砦）; 焼けた兵舎（赤灰の砦）; 砦地下倉庫（赤灰の砦）; 深層炉入口（深層炉前哨基地）; 炉心監視塔（深層炉前哨基地）; 機工整備場（深層炉前哨基地）; 星落ちの観測台（星落ちの観測所）; 砕けた望遠塔（星落ちの観測所）; 星屑の実験室（星落ちの観測所）; ヴァルハラ外郭（空中要塞ヴァルハラ）; 機械兵格納庫（空中要塞ヴァルハラ）; 空塞昇降路（空中要塞ヴァルハラ）; 白銀鉱山・カイ; ヴァルハラ,equip jobs not in DB
weapon,wpn_black_lamp_twin,黒灯りの双刃,dagger,R,YES,area_drop,忘却の地下路（忘却の地下市）; 黒市の裏通り（忘却の地下市）; 呪具置き場（忘却の地下市）; 契約失敗体の檻（忘却の地下市）; 仮面商人の隠し倉庫（忘却の地下市）; 黒灯りの路地（黒灯りの路地）; 煤煙の抜け道（黒灯りの路地）,equip jobs not in DB
weapon,wpn_starfall_spear,星落ちの槍,spear,SR,YES,area_drop,逆さ時計塔（砂時計の都）; 記憶の保管庫（砂時計の都）,equip jobs not in DB
weapon,wpn_moon_staff_sr,月読の杖,staff,SR,YES,area_drop,記録端末室（月下図書館）; 影写しの閲覧室（月下図書館）; 無答の書庫（月下図書館）,equip jobs not in DB
weapon,wpn_silence_seal_sr,沈黙の聖印,seal,SR,YES,area_drop,懺悔室（沈黙の修道院）; 祈りの間（沈黙の修道院）; 聖水工房跡（沈黙の修道院）; 無言の巡礼路（沈黙の修道院）,equip jobs not in DB
weapon,wpn_ash_knight_shield,灰騎士の大盾,shield,SR,NO,,,no acquisition path found; equip jobs not in DB
weapon,wpn_dragon_fist_sr,竜骨の拳甲,fist,SR,YES,area_drop,竜鳴きの崖（竜骨の峡谷）; 骨喰い鳥の巣（竜骨の峡谷）; 古竜の裂け目（竜骨の峡谷）,equip jobs not in DB
weapon,wpn_red_ash_axe_sr,赤灰の戦斧,axe,SR,YES,area_drop,赤灰の外壁（赤灰の砦）; 焼けた兵舎（赤灰の砦）; 砦地下倉庫（赤灰の砦）; 炎の訓練場（赤灰の砦）; 赤灰の見張り台（赤灰の砦）,equip jobs not in DB
weapon,wpn_mist_bow_sr,霧払いの弓,bow,SR,YES,area_drop,反射する森（硝子沼の集落）; 硝子花の群生地（硝子沼の集落）,equip jobs not in DB
weapon,wpn_unique_silence,静寂の聖印,seal,SR,YES,src_manifest;kai_forge,/upgrade manifest; カイ Src変質,—
weapon,wpn_black_exec_blade,黒灯の処刑刃,sword,SR,YES,area_drop,契約失敗体の檻（忘却の地下市）; 仮面商人の隠し倉庫（忘却の地下市）,equip jobs not in DB
weapon,wpn_moon_spell_staff,月下術杖,staff,SSR,YES,area_drop,無答の書庫（月下図書館）,equip jobs not in DB
weapon,wpn_deep_cannon,深層機構砲,cannon,SSR,YES,area_drop,深層炉入口（深層炉前哨基地）; 炉心監視塔（深層炉前哨基地）; 機工整備場（深層炉前哨基地）; アーク残滓研究所（深層炉前哨基地）; 鉄熱の補給路（深層炉前哨基地）,equip jobs not in DB
weapon,wpn_ash_knight_sword,灰冠騎士剣,sword,SSR,YES,area_drop,灰冠の王都地下（灰冠の王都跡）; 旧統治軍詰所（灰冠の王都跡）; 破れた玉座前（灰冠の王都跡）; 王都地下牢（灰冠の王都跡）; 灰の大通り（灰冠の王都跡）,equip jobs not in DB
weapon,wpn_prayer_robe_weapon,祈り縫いの聖衣,robe,SSR,NO,,,no acquisition path found; equip jobs not in DB
weapon,wpn_hollow_bell_bow,空鐘の弓,bow,SSR,YES,area_drop,落星孔（星落ちの観測所）,equip jobs not in DB
weapon,wpn_dragon_pierce,竜骨穿槍,spear,SSR,YES,area_drop,竜骨の峡谷（竜骨の峡谷）; 大骨市場跡（竜骨の峡谷）; 竜鳴きの崖（竜骨の峡谷）; 骨喰い鳥の巣（竜骨の峡谷）; 古竜の裂け目（竜骨の峡谷）,equip jobs not in DB
weapon,wpn_iron_snow_greatshield,鉄雪大盾,shield,SSR,NO,,,no acquisition path found; equip jobs not in DB
weapon,wpn_black_iron_blade,黒鉄の処刑刃,sword,SSR,NO,,,no acquisition path found; equip jobs not in DB
weapon,wpn_src_old_shield,Src: 古王盾,shield,Src,YES,kai_forge;legacy,カイ/Kai or manifest; manifest or kai_src,equip jobs not in DB
weapon,wpn_src_star_scar,Src: 星痕槍,spear,Src,YES,kai_forge;legacy,カイ/Kai or manifest; manifest or kai_src,equip jobs not in DB
weapon,wpn_src_echo,Src: 残響弓,bow,Src,YES,kai_forge;legacy,カイ/Kai or manifest; manifest or kai_src,equip jobs not in DB
weapon,wpn_src_deep,Src: 深層砲,cannon,Src,YES,kai_forge;legacy,カイ/Kai or manifest; manifest or kai_src,equip jobs not in DB
