area_id,area_name,level_band,has_no_drop,has_common_filler,has_weak_material,has_consumable,has_rare_material,has_ssr_or_ur,estimated_common_rate,estimated_rare_rate,estimated_ur_rate,balance_note
area_star_outskirts,星原の外れ,early,yes,yes,no,no,no,no,39.51%,0.00%,0.00%,OK
area_star_dust_path,星屑の草道,early,yes,yes,no,no,no,no,35.96%,0.00%,0.00%,OK
area_old_cart,古道の荷車跡,early,yes,yes,no,no,no,no,26.67%,0.00%,0.00%,OK
area_old_training,古い訓練場,early,yes,yes,yes,no,no,no,25.97%,0.00%,0.00%,OK
area_rust_inn,朽ちた旅籠,early,yes,yes,no,no,no,no,26.67%,0.00%,0.00%,OK
area_twilight_coast,薄明の海岸,early,yes,yes,no,no,no,no,26.67%,0.00%,0.00%,OK
area_night_hill,夜歩きの丘,early,yes,yes,no,no,no,no,34.48%,0.00%,0.00%,OK
area_thief_path,盗賊の抜け道,early,yes,yes,no,no,no,no,26.67%,0.00%,0.00%,OK
area_broken_shrine,壊れた祠,early,yes,yes,no,no,no,no,30.30%,0.00%,0.00%,OK
area_stone_bridge,石積みの橋,early,yes,yes,yes,no,no,no,40.00%,0.00%,0.00%,OK
area_lighthouse_rocks,灯台下の岩場,early,yes,yes,yes,yes,no,no,42.68%,0.00%,0.00%,OK
area_rain_alley,雨音の路地,early,yes,yes,no,no,no,no,12.70%,0.00%,0.00%,OK
area_traveler_grave,旅人の墓標,early,yes,yes,no,no,no,no,51.61%,0.00%,0.00%,OK
area_silver_tunnel,白銀坑道,early,yes,yes,no,no,yes,no,10.67%,16.00%,0.00%,OK
area_flooded_house,水没した家屋,early,yes,yes,no,no,no,no,29.85%,0.00%,0.00%,OK
area_sunken_deck,沈没船の甲板,early,yes,yes,no,yes,no,no,38.89%,0.00%,0.00%,OK
area_old_mine,旧採掘路,early,yes,yes,yes,no,yes,no,25.32%,15.19%,0.00%,OK
area_rust_well,朽ちた井戸,early,yes,yes,yes,no,no,no,45.07%,0.00%,0.00%,OK
area_tide_cave,潮騒の洞窟,early,yes,yes,no,yes,no,no,43.40%,0.00%,0.00%,OK
area_mist_beast_path,霧深き獣道,early,yes,yes,no,no,yes,no,11.76%,17.65%,0.00%,OK
area_leaky_chapel,雨漏りの礼拝堂,early,yes,yes,no,no,no,no,40.00%,0.00%,0.00%,OK
area_fog_warehouse,海霧の倉庫街,mid,yes,yes,no,yes,no,no,36.17%,0.00%,0.00%,OK
area_crystal_shaft,結晶の縦穴,mid,yes,yes,yes,no,yes,no,35.16%,13.19%,0.00%,OK
area_poison_path,毒蔦の小径,mid,yes,yes,no,no,yes,no,25.97%,15.58%,0.00%,OK
area_muddy_field,泥濘の畑,mid,yes,yes,no,no,no,no,34.48%,0.00%,0.00%,OK
area_collapsed_site,崩落した作業場,mid,yes,yes,yes,no,yes,no,32.26%,19.35%,0.00%,OK
area_old_tree_root,古樹の根元,mid,yes,yes,no,no,yes,no,11.27%,25.35%,0.00%,OK
area_forbidden_section,月下図書館・禁書区画,mid,yes,yes,no,no,yes,no,11.59%,17.39%,0.00%,OK
area_lost_mushroom_field,迷い茸の群生地,mid,yes,yes,no,no,yes,no,16.00%,24.00%,0.00%,OK
area_bookworm_corridor,紙魚の回廊,mid,yes,yes,no,no,yes,no,11.59%,17.39%,0.00%,OK
area_under_path,忘却の地下路,mid,yes,yes,no,no,yes,yes,10.67%,26.67%,0.00%,OK
area_record_terminal,記録端末室,mid,yes,yes,no,no,yes,no,11.94%,17.91%,0.00%,OK
area_black_alley,黒市の裏通り,mid,yes,yes,no,no,yes,yes,10.67%,26.67%,0.00%,OK
area_black_iron_vein,黒鉄鉱脈,mid,yes,yes,no,no,yes,yes,13.33%,23.33%,0.00%,OK
area_sleeping_nest,眠れる獣の巣,mid,yes,yes,no,no,yes,no,15.38%,11.54%,0.00%,OK
area_shadow_reading,影写しの閲覧室,mid,yes,yes,no,no,yes,no,17.78%,26.67%,0.00%,OK
area_cursed_storage,呪具置き場,mid,yes,yes,no,no,yes,yes,10.67%,26.67%,0.00%,OK
area_hourglass_ruins,砂時計の廃路,mid,yes,yes,no,no,yes,no,13.56%,20.34%,0.00%,OK
area_time_market,時紋の市場跡,mid,yes,yes,no,no,yes,no,12.31%,27.69%,0.00%,OK
area_contract_cage,契約失敗体の檻,mid,yes,yes,no,no,yes,no,14.29%,32.14%,0.00%,OK
area_lost_plaza,喪失者の広場,mid,yes,yes,no,no,yes,no,11.94%,17.91%,0.00%,OK
area_unanswered_archive,無答の書庫,mid,yes,yes,no,no,no,yes,22.22%,5.56%,0.00%,OK
area_masked_warehouse,仮面商人の隠し倉庫,mid,yes,yes,no,no,yes,yes,16.00%,24.00%,16.00%,OK
area_inverted_tower,逆さ時計塔,mid,yes,yes,no,no,yes,no,14.29%,32.14%,0.00%,OK
area_capital_under,灰冠の王都地下,mid,yes,yes,no,no,yes,yes,9.64%,24.10%,0.00%,OK
area_memory_vault,記憶の保管庫,mid,yes,yes,no,no,yes,no,19.05%,28.57%,0.00%,OK
area_old_army_post,旧統治軍詰所,mid,yes,yes,no,no,yes,yes,10.67%,26.67%,0.00%,OK
area_glass_marsh_main,硝子沼,mid,yes,yes,no,no,no,no,12.70%,0.00%,0.00%,OK
area_capital_dungeon,王都地下牢,mid,yes,yes,no,no,yes,yes,9.88%,24.69%,7.41%,OK
area_dragon_canyon,竜骨の峡谷,mid,yes,yes,no,no,yes,yes,10.67%,26.67%,0.00%,OK
area_cracked_surface,割れた水面,mid,yes,yes,no,no,no,no,12.70%,0.00%,0.00%,OK
area_broken_throne,破れた玉座前,mid,yes,yes,no,no,yes,yes,10.81%,35.14%,16.22%,OK
area_bone_market,大骨市場跡,mid,yes,yes,no,no,yes,yes,10.96%,27.40%,0.00%,OK
area_marsh_shrine,沼底の参道,mid,yes,yes,no,no,yes,no,13.56%,10.17%,0.00%,OK
area_red_wall,赤灰の外壁,mid,yes,yes,no,no,no,no,13.56%,0.00%,0.00%,OK
area_ash_boulevard,灰の大通り,late,yes,yes,no,no,yes,yes,14.29%,35.71%,0.00%,OK
area_dragon_cliff,竜鳴きの崖,late,yes,yes,no,no,yes,yes,9.41%,30.59%,0.00%,OK
area_silent_corridor,沈黙の回廊,late,yes,yes,no,no,yes,no,13.56%,20.34%,0.00%,OK
area_reflecting_forest,反射する森,late,yes,yes,no,no,no,no,19.05%,0.00%,0.00%,OK
area_burned_barracks,焼けた兵舎,late,yes,yes,no,no,no,no,12.31%,0.00%,0.00%,OK
area_bone_bird_nest,骨喰い鳥の巣,late,yes,yes,no,no,yes,yes,14.29%,35.71%,0.00%,OK
area_confessional,懺悔室,late,yes,yes,no,no,yes,no,10.39%,15.58%,0.00%,OK
area_glass_flower,硝子花の群生地,late,yes,yes,no,no,yes,no,19.05%,14.29%,0.00%,OK
area_fort_storage,砦地下倉庫,late,yes,yes,no,no,yes,no,12.31%,9.23%,0.00%,OK
area_old_dragon_rift,古竜の裂け目,late,yes,yes,no,no,yes,yes,14.29%,35.71%,0.00%,OK
area_prayer_room,祈りの間,late,yes,yes,no,no,yes,yes,8.99%,26.97%,0.00%,OK
area_fire_training,炎の訓練場,late,yes,yes,no,no,no,no,19.05%,0.00%,0.00%,OK
area_holy_workshop,聖水工房跡,late,yes,yes,no,yes,yes,no,20.69%,20.69%,0.00%,OK
area_red_watchtower,赤灰の見張り台,late,yes,yes,no,no,yes,no,19.05%,14.29%,0.00%,OK
area_furnace_entrance,深層炉入口,late,yes,yes,no,no,no,yes,10.96%,24.66%,10.96%,OK
area_silent_pilgrim,無言の巡礼路,late,yes,yes,no,no,yes,no,16.67%,12.50%,0.00%,OK
area_core_tower,炉心監視塔,late,yes,yes,no,no,no,yes,13.11%,9.84%,13.11%,OK
area_black_lantern_alley,黒灯りの路地,late,yes,yes,no,no,yes,yes,16.67%,25.00%,0.00%,OK
area_mechanic_yard,機工整備場,late,yes,yes,no,no,no,yes,13.56%,10.17%,10.17%,OK
area_starfall_platform,星落ちの観測台,late,yes,yes,no,no,yes,yes,10.13%,22.78%,10.13%,OK
area_cinder_passage,煤煙の抜け道,late,yes,yes,no,no,yes,yes,16.67%,25.00%,0.00%,OK
area_arc_lab,アーク残滓研究所,late,yes,yes,no,no,no,yes,16.67%,12.50%,25.00%,OK
area_broken_telescope,砕けた望遠塔,late,yes,yes,no,no,no,yes,11.94%,8.96%,20.90%,OK
area_iron_supply,鉄熱の補給路,late,yes,yes,no,no,no,yes,19.05%,14.29%,14.29%,OK
area_star_lab,星屑の実験室,late,yes,yes,no,no,no,yes,11.94%,8.96%,20.90%,OK
area_astronomy_record,天文記録室,late,yes,yes,no,no,no,yes,18.18%,13.64%,18.18%,OK
area_valhalla_outer,ヴァルハラ外郭,late,yes,yes,no,no,no,yes,11.43%,8.57%,15.71%,OK
area_meteor_crater,落星孔,late,yes,yes,no,no,no,yes,13.79%,31.03%,17.24%,OK
area_mech_hangar,機械兵格納庫,late,yes,yes,no,no,no,yes,10.81%,16.22%,20.27%,OK
area_sky_lift,空塞昇降路,late,yes,yes,no,no,no,yes,11.27%,8.45%,25.35%,OK
area_experiment_zone,実験区画,late,yes,yes,no,no,no,yes,14.81%,11.11%,33.33%,OK
area_control_room,統治軍制御室,late,yes,yes,no,no,no,yes,16.67%,0.00%,37.50%,OK
area_old_throne,旧王の玉座,late,yes,yes,no,no,no,yes,18.18%,0.00%,31.82%,OK
area_deep_core,深層炉心,late,yes,yes,no,no,no,yes,18.18%,0.00%,31.82%,OK
area_machina_zone,マキナの残響区画,late,yes,yes,no,no,no,yes,20.00%,5.00%,20.00%,OK